scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Taurus Discovery (Midcap) Fund - Direct Plan - Growth,9.273,2.763,3.704,6.181,-1.561,-0.372,4.352,1.06,-1.306,6.538,-0.353,4.32,1.449,-1.423,-1.573,4.844,-4.323,-1.157,4.594,3.077,-10.776,-1.874,1.485,2.39,-3.875,-1.226,7.709,-2.77,1.578,-1.982,-9.95,1.463,6.522,5.319,0.808,0.963,3.659,0.193,-23.15,15.202,3.434,5.041,5.145,5.627,2.911,-1.445,11.05,4.948,0.21,10.213,1.587,1.187,4.746,4.868,3.775,-1.333,4.296,1.774,-4.225,0.412,0.131,-7.548,8.036,1.176,-7.56,-5.036,1.291,31.412,5.605,0.798
ICICI Prudential MidCap Fund - Direct Plan -  Growth,5.949,5.311,3.932,3.775,-1.751,0.62,3.226,0.665,-0.021,8.356,-0.265,5.861,-2.306,-1.763,-3.59,3.977,-4.768,-4.041,3.956,1.869,-8.457,0.021,2.734,2.041,-4.728,-0.585,7.818,-1.696,3.098,-2.243,-7.573,-1.438,5.453,5.285,0.702,-0.247,3.57,-5.146,-29.077,14.677,7.788,6.096,7.78,9.21,0.762,-0.1,14.289,7.121,1.566,9.23,1.207,0.137,7.252,6.267,4.464,0.37,3.958,2.285,-2.48,1.808,-0.078,-8.535,6.577,-0.983,-3.154,-2.9,1.411,37.591,6.131,0.797
Mahindra Manulife Mid Cap Unnati Yojana - Direct Plan -Growth,,,,,,,,,,,,,,3.732,-1.785,5.784,-3.369,-2.82,4.247,3.317,-8.855,-2.259,2.356,2.184,-3.168,0.201,4.442,-1.271,2.397,-0.371,-7.264,0.558,7.536,5.443,-0.67,1.817,4.52,-1.882,-23.423,13.071,4.57,5.119,3.157,6.568,1.606,-1.098,10.829,7.189,1.513,11.959,2.239,1.663,5.124,6.571,5.144,-1.141,4.313,3.76,-4.337,3.541,0.456,-7.745,7.654,-1.83,-4.761,-5.196,1.346,34.228,5.85,0.797
HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,7.07,1.404,2.579,2.167,4.014,-2.224,4.905,-2.28,-3.217,8.709,-2.005,2.331,4.015,-6.601,-3.152,3.532,0.924,-2.171,5.602,3.489,-6.444,-2.498,1.252,1.972,-2.589,-0.572,9.325,-1.601,2.489,-1.29,-7.751,-0.725,4.338,6.372,1.136,0.475,-0.521,-4.352,-26.24,17.567,3.589,7.549,3.608,9.336,-2.764,-0.302,15.106,6.108,4.238,9.765,-0.284,-0.566,7.374,3.894,3.431,2.342,5.076,4.092,-3.496,0.073,0.839,-6.151,6.895,-0.891,-3.313,-4.408,1.372,35.808,5.984,0.794
UTI Mid Cap Fund-Growth Option- Direct,6.534,2.502,4.022,4.391,-0.982,-1.631,3.122,-0.095,-0.494,9.231,1.095,4.867,-3.103,-1.164,-4.1,6.733,-6.203,-4.114,4.601,1.142,-11.725,1.112,2.458,1.444,-4.543,-0.456,6.373,-3.571,3.834,-1.668,-9.311,1.031,6.321,4.738,-0.051,1.469,6.078,-2.513,-26.46,15.461,6.437,5.548,7.081,7.53,3.879,0.224,13.473,7.331,0.569,7.843,2.221,-0.738,4.968,6.477,5.975,2.075,2.54,2.369,-1.855,2.547,-2.03,-6.386,3.935,0.299,-4.821,-3.588,1.368,35.86,5.988,0.791
HDFC Mid-Cap Opportunities Fund - Growth Option - Direct Plan,7.617,3.558,4.992,3.675,-0.666,0.346,3.655,-1.051,-0.645,6.338,0.8,5.603,-2.593,-2.746,-2.535,6.637,-4.819,-3.05,4.976,2.883,-11.168,-0.417,0.744,2.817,-4.039,0.784,9.104,-3.232,2.586,-1.796,-8.981,-0.044,3.543,4.806,0.837,0.872,4.681,-1.854,-28.745,14.843,5.669,7.031,4.025,9.899,1.153,-0.73,14.677,5.456,1.314,10.285,1.024,0.944,5.538,4.392,3.667,1.281,3.911,1.187,-2.762,1.892,1.015,-5.834,5.115,0.78,-3.915,-4.349,1.378,36.711,6.059,0.788
HSBC Large and Mid Cap Equity Fund - Growth Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,1.899,-1.067,-6.86,1.706,5.376,4.595,1.792,1.032,2.969,-2.433,-26.844,15.821,4.646,4.741,5.211,6.006,0.94,1.63,12.229,6.317,2.373,5.298,0.999,-0.738,6.05,3.393,3.723,4.147,2.807,2.166,-3.747,3.963,-1.394,-6.145,5.628,-3.183,-4.602,-3.841,1.443,41.79,6.465,0.773
DSP Midcap Fund - Direct Plan - Growth,8.899,2.559,5.396,4.366,-0.774,-1.552,3.246,-0.873,0.124,5.922,0.04,4.584,-1.663,-1.609,-2.804,5.459,-4.925,-4.493,6.549,1.506,-11.051,0.023,2.992,1.821,-3.483,2.211,6.245,-1.346,2.062,-0.454,-7.116,0.547,5.978,5.208,0.637,1.797,6.329,-2.266,-25.521,16.267,6.55,4.032,5.784,6.807,2.983,-0.8,12.553,3.082,1.481,5.167,1.479,0.225,5.79,4.885,3.155,1.237,2.516,0.634,-3.39,1.089,-0.352,-7.538,3.111,-0.173,-4.48,-4.89,1.239,31.638,5.625,0.763
L&T Mid Cap Fund-Direct Plan-Growth,7.799,4.057,4.434,5.693,0.73,1.511,3.716,0.881,-0.263,6.882,-0.535,4.367,-0.802,-3.756,-3.308,5.528,-4.542,-3.656,4.352,2.855,-10.323,-0.929,2.583,1.107,-4.064,-0.694,7.488,-3.068,2.175,-1.44,-9.008,-0.228,6.492,5.757,0.192,1.021,4.748,-2.404,-27.634,15.733,4.54,5.614,4.851,6.811,3.955,-0.68,10.92,4.886,-0.601,8.91,2.418,0.342,3.224,4.925,4.236,1.053,3.261,0.658,-3.822,1.685,-1.675,-5.168,5.433,-0.612,-4.029,-3.63,1.227,33.404,5.78,0.735
Tata Mid Cap Growth Fund - Direct Plan- IDCW Option,8.833,3.091,4.73,5.218,-2.159,0.191,4.974,0.679,-0.803,4.471,3.262,-0.634,-4.708,-3.966,-3.315,4.641,-4.881,-4.724,5.288,6.051,-12.48,0.598,3.35,3.031,-9.218,1.137,8.68,-2.187,2.039,0.327,-9.322,1.803,5.656,4.286,0.659,0.874,6.676,-1.904,-26.499,15.387,4.767,5.008,2.907,7.055,3.913,0.693,12.301,5.57,0.897,8.689,2.301,0.374,3.698,5.814,4.748,3.114,0.535,3.446,-1.988,1.433,-0.965,-5.941,5.398,-1.241,-3.923,-4.411,1.262,35.943,5.995,0.729
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth,7.404,1.601,3.344,2.378,1.986,0.914,4.576,1.191,-1.669,6.044,0.492,5.208,1.274,-4.742,-2.235,5.427,-2.897,-4.588,6.6,1.139,-14.861,-1.76,2.526,0.601,-4.209,-0.238,6.905,-0.056,3.47,-1.152,-8.588,1.926,7.227,4.704,0.473,0.941,2.745,-1.512,-24.692,16.238,2.47,4.362,5.934,5.521,1.533,1.51,11.074,6.171,-0.694,4.302,1.445,1.837,6.661,4.698,4.181,2.578,1.148,3.587,-4.066,2.583,-0.67,-6.617,3.775,-1.585,-4.326,-4.094,1.174,31.703,5.631,0.722
Nippon India Nifty Midcap 150 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.626,1.976,-0.01,5.614,4.805,3.411,1.457,5.525,1.763,-2.136,1.984,-1.239,-7.713,6.245,-0.704,-4.386,-5.289,0.819,16.101,4.013,0.707
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,7.74,3.302,5.765,4.993,0.007,-0.95,4.315,1.275,-1.403,6.03,-0.443,5.217,-2.98,-4.012,-2.926,5.082,-4.776,-2.86,4.5,2.524,-11.724,0.162,1.514,1.168,-5.32,0.575,8.52,-3.268,2.585,-2.828,-8.264,-2.087,4.6,4.297,0.432,1.161,5.069,-3.996,-28.882,12.378,2.658,9.033,4.713,8.656,1.793,-0.415,12.78,6.295,0.682,8.723,1.524,0.325,5.719,6.712,7.188,1.365,4.279,3.534,-1.777,2.457,-1.084,-6.272,4.006,-0.291,-4.558,-4.113,1.219,36.649,6.054,0.698
L&T Large and Midcap Fund-Direct Plan-Growth,7.909,3.83,4.377,2.715,3.066,0.4,1.822,0.695,-1.65,6.965,-1.334,4.717,0.867,-3.04,-4.05,6.796,-4.598,-3.67,4.059,4.425,-9.511,-2.709,2.243,-0.219,-3.017,-0.393,7.745,-1.209,2.491,-1.333,-7.91,0.256,5.968,4.879,1.009,1.086,2.362,-2.674,-26.014,17.25,4.526,3.215,6.848,6.219,1.792,0.248,8.491,6.393,0.062,2.12,2.245,-0.071,4.324,3.662,4.558,2.957,1.726,1.901,-0.807,3.614,-3.313,-5.69,6.423,-3.092,-4.594,-5.825,1.099,31.109,5.578,0.683
Sundaram Mid Cap Fund Direct Plan - Growth,7.457,2.541,3.073,5.615,-1.01,-0.47,2.821,-0.079,0.056,5.185,2.124,5.123,-2.902,-2.705,-3.586,6.061,-4.424,-3.494,2.083,2.67,-11.706,-1.278,1.64,3.283,-4.578,-0.03,6.855,-2.488,3.706,-2.763,-9.411,0.246,4.882,5.045,0.601,1.22,5.227,-1.662,-30.071,11.19,3.966,7.103,2.186,8.594,1.712,-0.443,13.191,6.136,3.078,8.676,-0.349,-1.142,4.833,5.642,4.774,2.682,2.364,2.116,-2.811,1.878,-1.365,-4.604,4.156,-0.445,-4.763,-3.81,1.052,35.117,5.926,0.615
Aditya Birla Sun Life Nifty Midcap 150 Index Fund-Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797,5.748,4.842,3.409,1.49,5.428,1.803,-2.08,1.996,-1.225,-7.65,6.314,-0.593,-4.353,-5.336,0.706,18.012,4.244,0.576
IDBI Midcap Fund Growth Direct,,1.296,3.937,1.885,0.368,0.367,5.435,0.945,-1.872,5.695,-0.653,4.355,-0.472,-3.797,-2.632,5.5,-4.781,-3.515,7.062,1.466,-11.868,-5.798,0.273,0.814,-4.126,3.181,3.808,-1.659,0.628,-2.203,-8.018,-0.49,5.495,5.114,-0.18,0.091,6.425,-2.577,-28.912,15.672,7.458,7.466,5.186,5.784,2.646,0.258,12.755,4.751,1.08,10.328,-0.516,-0.584,4.753,5.531,6.066,0.819,2.709,2.795,-4.618,2.367,-2.9,-7.307,3.067,0.449,-4.893,-4.199,0.885,37.318,6.109,0.502
ITI Mid Cap Cap Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,0.204,4.837,7.295,1.765,1.264,3.041,1.367,-4.767,-1.098,-1.657,-6.768,3.557,-0.381,-2.313,-3.769,0.183,13.127,3.623,0.175
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736,-1.298,-7.739,6.251,-0.71,-4.394,-5.231,-1.626,22.054,4.696,-1.199
HSBC Mid Cap Fund - Direct - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-1.279,-1.437,5.341,-3.13,-7.85,5.432,-0.811,-5.074,-7.043,-1.583,20.456,4.523,-1.212
Edelweiss Large & Midcap Index Fund - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783,-0.937,-5.987,6.214,-1.519,-4.071,-4.815,-1.476,17.127,4.139,-1.235
